Geo Point;Geo Shape;id_fontaines_a_boire;localisation;type;adresse;commune;quartier;territoire;statut
43.61347092922266, 1.4391107417774105;"{""coordinates"": [[1.43911074177741, 43.61347092922266]], ""type"": ""MultiPoint""}";33;JARDIN GODOLIN;BAYARD;7 RUE GODOLIN;Toulouse;3;CENTRE;Ouverte
43.593068262703014, 1.435245317277386;"{""coordinates"": [[1.435245317277386, 43.593068262703014]], ""type"": ""MultiPoint""}";366;Entrée boulistes, coté Fer à Cheval;BAYARD;COURS DILLON;Toulouse;6;CENTRE;Ouverte
43.60226979768983, 1.407837848233292;"{""coordinates"": [[1.407837848233292, 43.60226979768983]], ""type"": ""MultiPoint""}";560;Place charte des libertés;IDEO;;Toulouse;;;Ouverte
43.56381533083726, 1.3972020387309485;"{""coordinates"": [[1.397202038730949, 43.56381533083726]], ""type"": ""MultiPoint""}";249;PETIT BOIS DE BELLEFONTAINE;SANTA-COLE;PASSAGE ANDRE MAUROIS;Toulouse;17;SUD;Ouverte
43.60230682722163, 1.4409308323820669;"{""coordinates"": [[1.440930832382067, 43.60230682722163]], ""type"": ""MultiPoint""}";386;FACE AU 6 RUE LEON GAMBETTA;SANTA-COLE;RUE LEON GAMBETTA;Toulouse;1;CENTRE;Ouverte
43.57748022220873, 1.4449349879281796;"{""coordinates"": [[1.44493498792818, 43.57748022220873]], ""type"": ""MultiPoint""}";122;JARDIN NIEL;AUTRE;RUE SAINT ROCH;Toulouse;5;CENTRE;Ouverte
43.601391788897836, 1.4028288872970314;"{""coordinates"": [[1.402828887297031, 43.601391788897836]], ""type"": ""MultiPoint""}";443;PARC DU BARRY;IDEO;VOIE DU TOEC;Toulouse;19;OUEST;Ouverte
43.60018042832891, 1.4503904373419652;"{""coordinates"": [[1.450390437341965, 43.60018042832891]], ""type"": ""MultiPoint""}";38;SQUARE SALIEGE;BAYARD;SQUARE DU CARDINAL SALIEGE;Toulouse;1;CENTRE;Ouverte
43.63935114187726, 1.463649437255765;"{""coordinates"": [[1.463649437255765, 43.63935114187726]], ""type"": ""MultiPoint""}";394;CIMETIERE CROIX DAURADE;BAYARD;RUE DU GENERAL GIRAUD;Toulouse;9;NORD;Ouverte
43.60953069642729, 1.3801715195044473;"{""coordinates"": [[1.380171519504447, 43.60953069642729]], ""type"": ""MultiPoint""}";402;JARDIN DES PLATANES;BAYARD;RUE SENTENAC;Toulouse;20;OUEST;Fermée pour maintenance
43.60154236112068, 1.4386229754780788;"{""coordinates"": [[1.438622975478079, 43.60154236112068]], ""type"": ""MultiPoint""}";234;PLACE DE LA DAURADE;SANTA-COLE;PLACE DE LA DAURADE;Toulouse;1;CENTRE;Ouverte
43.568572663599525, 1.4061692033146294;"{""coordinates"": [[1.406169203314629, 43.568572663599525]], ""type"": ""MultiPoint""}";254;JARDIN PARTAGEE DE LA PYRAMIDE;BAYARD;RUE GEORGES CANDILIS;Toulouse;17;SUD;Ouverte
43.6133739713802, 1.4262407175095972;"{""coordinates"": [[1.426240717509597, 43.6133739713802]], ""type"": ""MultiPoint""}";472;PARVIS ECOLE  MAT BEARNAIS (compteur école);IDEO;100 RUE PIERRE PAUL RIQUET;Toulouse;8;NORD;Ouverte
43.57175208779244, 1.479164217676082;"{""coordinates"": [[1.479164217676082, 43.57175208779244]], ""type"": ""MultiPoint""}";342;PLACE MARCEL BOUILLOUX LAFFONT;BAYARD;;Toulouse;12;EST;Ouverte
43.597349136053595, 1.4371709165691309;"{""coordinates"": [[1.437170916569131, 43.597349136053595]], ""type"": ""MultiPoint""}";79;PRAIRIE DES FILTRES;WATER CONNECT;COURS DILLON;Toulouse;6;CENTRE;Ouverte
43.58202856927479, 1.3835185345432677;"{""coordinates"": [[1.383518534543268, 43.58202856927479]], ""type"": ""MultiPoint""}";239;JARDIN PORTAL;BAYARD;RUE ANTOINE PORTAL;Toulouse;18;OUEST;Ouverte
43.56692298165632, 1.3990335592331242;"{""coordinates"": [[1.399033559233124, 43.56692298165632]], ""type"": ""MultiPoint""}";97;TERRAIN DE JEUX RUE LIZOP;BAYARD;RUE RAYMOND LIZOP;Toulouse;17;SUD;Ouverte
43.612365215650556, 1.37601956650976;"{""coordinates"": [[1.37601956650976, 43.612365215650556]], ""type"": ""MultiPoint""}";164;CIMETIERE SAINT MARTIN DU TOUCH;BP;CHEMIN DE LA CRABE;Toulouse;20;OUEST;
43.57848688879018, 1.4747986748492412;"{""coordinates"": [[1.474798674849241, 43.57848688879018]], ""type"": ""MultiPoint""}";479;PLACE MADY MESPLE;BAYARD;2 RUE DES JONQUILLES;Toulouse;12;EST;Ouverte
43.61607897074756, 1.4687875308600828;"{""coordinates"": [[1.468787530860083, 43.61607897074756]], ""type"": ""MultiPoint""}";474;A Proximité DE L AIRE DE JEUX;BAYARD;100 RUE PIERRE PAUL RIQUET;Toulouse;10;EST;Ouverte
43.59578170042491, 1.3712982733704087;"{""coordinates"": [[1.371298273370409, 43.59578170042491]], ""type"": ""MultiPoint""}";238;PROMMENADE DU BORD DU TOUCH;BAYARD;141, CHE DE TOURNEFEUILLE, TOULOUSE;Toulouse;20;OUEST;Ouverte
43.60875465148318, 1.3823241857192072;"{""coordinates"": [[1.382324185719207, 43.60875465148318]], ""type"": ""MultiPoint""}";69;ESPACE NATURE DE SAINT MARTIN;BAYARD;RUE VELASQUEZ;Toulouse;20;OUEST;Ouverte
43.6157151807092, 1.398265045099053;"{""coordinates"": [[1.398265045099053, 43.6157151807092]], ""type"": ""MultiPoint""}";353;ARENE ROMAINE;BAYARD;RUE DE PURPAN;Toulouse;20;OUEST;Ouverte
43.574691694716265, 1.477258466347303;"{""coordinates"": [[1.477258466347303, 43.574691694716265]], ""type"": ""MultiPoint""}";355;BEPPO DE MASSIMI;BAYARD;RUE BEPPO DE MASSIMI;Toulouse;12;EST;Ouverte
43.6103236129887, 1.4681454581863764;"{""coordinates"": [[1.468145458186376, 43.6103236129887]], ""type"": ""MultiPoint""}";505;Cimetière salonique;BAYARD;;Toulouse;;;
43.61894750784864, 1.4651357353457575;"{""coordinates"": [[1.465135735345757, 43.61894750784864]], ""type"": ""MultiPoint""}";11;JARDIN PIERRE ROUS;BAYARD;RUE DE PERIOLE;Toulouse;4;CENTRE;Ouverte
43.600766610891206, 1.4468961616761438;"{""coordinates"": [[1.446896161676144, 43.600766610891206]], ""type"": ""MultiPoint""}";34;JARDIN PRIVAT;SANTA-COLE;21 RUE DE METZ;Toulouse;1;CENTRE;Ouverte
43.56710810392263, 1.4841793011930655;"{""coordinates"": [[1.484179301193066, 43.56710810392263]], ""type"": ""MultiPoint""}";531;Piste géants zone C;IDEO;PISTE DES GEANTS;Toulouse;12;EST;Ouverte
43.61098368219725, 1.4533184735729232;"{""coordinates"": [[1.453318473572923, 43.61098368219725]], ""type"": ""MultiPoint""}";526;PARVI DE LA GARE;SANTA-COLE;ESPA GEORGES MALGOUYRES;Toulouse;4;CENTRE;Ouverte
43.60634009707794, 1.449551081116872;"{""coordinates"": [[1.449551081116872, 43.60634009707794]], ""type"": ""MultiPoint""}";308;RAMBLAS;SANTA-COLE;ALLEES JEAN JAURES;Toulouse;3;CENTRE;Ouverte
43.58561830381919, 1.4475115020154756;"{""coordinates"": [[1.447511502015476, 43.58561830381919]], ""type"": ""MultiPoint""}";524;PARVIS CASTELET;IDEO;PRV YVES ET MARIE ANGELE BETTINI;Toulouse;5;CENTRE;Ouverte
43.55938961954315, 1.3992743611559908;"{""coordinates"": [[1.399274361155991, 43.55938961954315]], ""type"": ""MultiPoint""}";408;Terrain valmy;PRESTO;100 RUE PIERRE PAUL RIQUET;Toulouse;17;SUD;Ouverte
43.565569912932844, 1.486107190008871;"{""coordinates"": [[1.486107190008871, 43.565569912932844]], ""type"": ""MultiPoint""}";533;Piste des géants zone D1;IDEO OPTION CHIEN;PISTE DES GEANTS;Toulouse;12;EST;Ouverte
43.56273682204779, 1.4898684411920338;"{""coordinates"": [[1.489868441192034, 43.56273682204779]], ""type"": ""MultiPoint""}";485;B612  (allée);BAYARD;PARC JACQUES MAZIOL;Toulouse;12;EST;Ouverte
43.56373596291171, 1.4888235909887912;"{""coordinates"": [[1.488823590988791, 43.56373596291171]], ""type"": ""MultiPoint""}";483;Entrée B612;BAYARD;PARC JACQUES MAZIOL;Toulouse;12;EST;Ouverte
43.607531574221646, 1.4456683855032195;"{""coordinates"": [[1.44566838550322, 43.607531574221646]], ""type"": ""MultiPoint""}";385;75 RUE ALSACE LORRAINE;SANTA-COLE;RUE ALSACE LORRAINE;Toulouse;1;CENTRE;Ouverte
43.577180355384364, 1.4316982916567176;"{""coordinates"": [[1.431698291656718, 43.577180355384364]], ""type"": ""MultiPoint""}";242;JARDIN DE POUDRERIE;SANTA-COLE;PASSERELLE DE LA POUDRERIE;Toulouse;5;CENTRE;Ouverte
43.60880123518496, 1.4425005798557933;"{""coordinates"": [[1.442500579855793, 43.60880123518496]], ""type"": ""MultiPoint""}";258;ESPLANADE ST ETIENNE;SANTA-COLE;PLACE ST SERNIN;Toulouse;1;CENTRE;Ouverte
43.603637518606774, 1.4355210744373827;"{""coordinates"": [[1.435521074437383, 43.603637518606774]], ""type"": ""MultiPoint""}";226;PLACE  SAINT PIERRE;SANTA-COLE;PLACE ST PIERRE;Toulouse;1;CENTRE;Ouverte
43.63669638504124, 1.444295973899425;"{""coordinates"": [[1.444295973899425, 43.63669638504124]], ""type"": ""MultiPoint""}";482;Place des trois cocus;SANTA-COLE;98 RUE ERNEST RENAN;Toulouse;9;NORD;Ouverte
43.577446351219486, 1.4439069681491086;"{""coordinates"": [[1.443906968149109, 43.577446351219486]], ""type"": ""MultiPoint""}";454;Place Guy Hersant;SANTA-COLE;PLACE GUY HERSANT;Toulouse;5;CENTRE;Ouverte
43.633638741976384, 1.450039605780945;"{""coordinates"": [[1.450039605780945, 43.633638741976384]], ""type"": ""MultiPoint""}";266;BORDEROUGE SENTE;BP;CHEMIN DE LANUSSE;Toulouse;9;NORD;Ouverte
43.602862193623054, 1.4456308468560526;"{""coordinates"": [[1.445630846856053, 43.602862193623054]], ""type"": ""MultiPoint""}";392;33 AVENUE ALSACE LORRAINE;SANTA-COLE;RUE ALSACE LORRAINE;Toulouse;1;CENTRE;Ouverte
43.570280107921135, 1.4482755664292393;"{""coordinates"": [[1.448275566429239, 43.570280107921135]], ""type"": ""MultiPoint""}";562;Jardin LEFRANC DE POMPIGNAN;BAYARD;RUE LEFRANC DE POMPIGNAN;Toulouse;13;EST;Ouverte
43.64965489986563, 1.44884107891866;"{""coordinates"": [[1.44884107891866, 43.64965489986563]], ""type"": ""MultiPoint""}";442;PARC MARIA COMBES;IDEO OPTION CHIEN;RUE SIMONE HENRY;Toulouse;9;NORD;Ouverte
43.612958398441336, 1.4321530182324673;"{""coordinates"": [[1.432153018232467, 43.612958398441336]], ""type"": ""MultiPoint""}";91;JARDIN COMPANS;BAYARD;22 BOULEVARD DE LA MARQUETTE;Toulouse;2;CENTRE;Ouverte
43.60621145618855, 1.4205932934266698;"{""coordinates"": [[1.42059329342667, 43.60621145618855]], ""type"": ""MultiPoint""}";30;COULEE VERTE DES AMIDONNIERS;BAYARD;IMPASSE DU RAMIER DES CATALANS - AP;Toulouse;2;CENTRE;Ouverte
43.57320447119903, 1.4755099717240856;"{""coordinates"": [[1.475509971724086, 43.57320447119903]], ""type"": ""MultiPoint""}";244;JARDIN DE LA LIGNE;PRESTO;Rue Jacqueline-Auriol;Toulouse;12;EST;Ouverte
43.56981087750513, 1.429774938956373;"{""coordinates"": [[1.429774938956373, 43.56981087750513]], ""type"": ""MultiPoint""}";538;bord de garonne oncopole;IDEO;ALL NICOLE GIRARD MANGIN;Toulouse;14;SUD;Ouverte
43.61323681325415, 1.4314023678917178;"{""coordinates"": [[1.431402367891718, 43.61323681325415]], ""type"": ""MultiPoint""}";93;JARDIN COMPANS;BAYARD;22 BOULEVARD DE LA MARQUETTE;Toulouse;2;CENTRE;Ouverte
43.57956790982085, 1.4103259919206061;"{""coordinates"": [[1.410325991920606, 43.57956790982085]], ""type"": ""MultiPoint""}";539;dans le passage jardin du soleil;IDEO;RUE DU BACHAGA BOUALAM;Toulouse;16;SUD;Ouverte
43.5676701011645, 1.404863133297409;"{""coordinates"": [[1.404863133297409, 43.5676701011645]], ""type"": ""MultiPoint""}";542;Jardin partagé satie;BAYARD;AV DE REYNERIE;Toulouse;17;SUD;Ouverte
