Geo Point;Geo Shape;id_fontaines_a_boire;localisation;type;adresse;commune;quartier;territoire;statut
43.575951951032785, 1.473974777239883;"{""coordinates"": [[1.473974777239883, 43.575951951032785]], ""type"": ""MultiPoint""}";457;Place aerospace;SANTA-COLE;PL AEROPOSTALE;Toulouse;12;EST;Ouverte
43.61152751948284, 1.4672098860434977;"{""coordinates"": [[1.467209886043498, 43.61152751948284]], ""type"": ""MultiPoint""}";500;Cimetière salonique;BAYARD;;Toulouse;;;
43.611237649935745, 1.4677507400009229;"{""coordinates"": [[1.467750740000923, 43.611237649935745]], ""type"": ""MultiPoint""}";503;Cimetière salonique;PRESTO;;Toulouse;;;
43.6225208899473, 1.4524444426929715;"{""coordinates"": [[1.452444442692971, 43.6225208899473]], ""type"": ""MultiPoint""}";513;Bartoli;IDEO OPTION CHIEN;RUE JEAN BARTOLI;Toulouse;4;CENTRE;Ouverte
43.58155890274465, 1.3878039674303893;"{""coordinates"": [[1.387803967430389, 43.58155890274465]], ""type"": ""MultiPoint""}";217;PLACE DES PRADETTES;BAYARD;1, PL DES PRADETTES, TOULOUSE;Toulouse;18;OUEST;Ouverte
43.58935239774584, 1.384017376334116;"{""coordinates"": [[1.384017376334116, 43.58935239774584]], ""type"": ""MultiPoint""}";416;Cimetière lardenne;BAYARD;AVENUE PIERRE MOLETTE;Toulouse;18;OUEST;
43.589682076888586, 1.3787184225102949;"{""coordinates"": [[1.378718422510295, 43.589682076888586]], ""type"": ""MultiPoint""}";481;Boulodrome lardenne;BAYARD;;Toulouse;;;Ouverte
43.59581680967305, 1.400122087178899;"{""coordinates"": [[1.400122087178899, 43.59581680967305]], ""type"": ""MultiPoint""}";529;city stade résidence Beauregard;IDEO;2 RUE DES JONQUILLES;Toulouse;19;OUEST;Ouverte
43.574051055692784, 1.4181769997447147;"{""coordinates"": [[1.418176999744715, 43.574051055692784]], ""type"": ""MultiPoint""}";64;JARDIN DES MERLETTES;BAYARD;ALL DE GUYENNE;Toulouse;16;SUD;Ouverte
43.57105408924783, 1.502731668092936;"{""coordinates"": [[1.502731668092936, 43.57105408924783]], ""type"": ""MultiPoint""}";60;ESPACE NATURE MARCAISSONNE;BAYARD;AVENUE DE LA MARCAISSONNE;Toulouse;12;EST;Fermée pour maintenance
43.63828299533095, 1.4445919456485834;"{""coordinates"": [[1.444591945648583, 43.63828299533095]], ""type"": ""MultiPoint""}";473;28 chemin des izards;SANTA-COLE;, PL MICOULAUD, TOULOUSE;Toulouse;9;NORD;Ouverte
43.604831333289255, 1.444758928130563;"{""coordinates"": [[1.444758928130563, 43.604831333289255]], ""type"": ""MultiPoint""}";406;SQUARE DE GAULLE;WATER CONNECT;SQUARE DU GÉNÉRAL DE GAULLE;Toulouse;1;CENTRE;Ouverte
